year,month,yearmonth,port1,port2,route,value,real
2025,8,202508,Melbourne,Gold Coast,Melbourne - Gold Coast,236.0,236.0
2025,8,202508,Melbourne,Mildura,Melbourne - Mildura,338.0,338.0
2025,8,202508,Melbourne,Perth,Melbourne - Perth,470.0,470.0
2025,8,202508,Melbourne,Sydney,Melbourne - Sydney,182.0,182.0
2025,8,202508,Melbourne,Townsville,Melbourne - Townsville,300.0,300.0
2025,8,202508,Melbourne,Newcastle,Melbourne - Newcastle,120.0,120.0
2025,9,202509,Adelaide,Melbourne,Adelaide - Melbourne,335.0,335.0
2025,9,202509,Brisbane,Melbourne,Brisbane - Melbourne,330.0,330.0
2025,9,202509,Cairns,Melbourne,Cairns - Melbourne,385.0,385.0
2025,9,202509,Canberra,Melbourne,Canberra - Melbourne,324.0,324.0
2025,9,202509,Darwin,Melbourne,Darwin - Melbourne,582.0,582.0
2025,9,202509,Devonport,Melbourne,Devonport - Melbourne,378.0,378.0
2025,9,202509,Hobart,Melbourne,Hobart - Melbourne,182.0,182.0
2025,9,202509,Launceston,Melbourne,Launceston - Melbourne,242.0,242.0
2025,9,202509,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,418.0,418.0
2025,9,202509,Melbourne,Gold Coast,Melbourne - Gold Coast,346.0,346.0
2025,9,202509,Melbourne,Mildura,Melbourne - Mildura,338.0,338.0
2025,9,202509,Melbourne,Perth,Melbourne - Perth,601.0,601.0
2025,9,202509,Melbourne,Sydney,Melbourne - Sydney,190.0,190.0
2025,9,202509,Melbourne,Townsville,Melbourne - Townsville,638.0,638.0
2025,9,202509,Melbourne,Newcastle,Melbourne - Newcastle,208.0,208.0
2025,10,202510,Adelaide,Melbourne,Adelaide - Melbourne,291.0,291.0
2025,10,202510,Brisbane,Melbourne,Brisbane - Melbourne,278.0,278.0
2025,10,202510,Cairns,Melbourne,Cairns - Melbourne,312.99,312.99
2025,10,202510,Canberra,Melbourne,Canberra - Melbourne,388.0,388.0
2025,10,202510,Darwin,Melbourne,Darwin - Melbourne,812.01,812.01
2025,10,202510,Devonport,Melbourne,Devonport - Melbourne,398.0,398.0
2025,10,202510,Hobart,Melbourne,Hobart - Melbourne,321.01,321.01
2025,10,202510,Launceston,Melbourne,Launceston - Melbourne,355.0,355.0
2025,10,202510,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,350.0,350.0
2025,10,202510,Melbourne,Gold Coast,Melbourne - Gold Coast,303.0,303.0
2025,10,202510,Melbourne,Mildura,Melbourne - Mildura,338.0,338.0
2025,10,202510,Melbourne,Perth,Melbourne - Perth,548.0,548.0
2025,10,202510,Melbourne,Sydney,Melbourne - Sydney,190.0,190.0
2025,10,202510,Melbourne,Townsville,Melbourne - Townsville,481.0,481.0
2025,10,202510,Melbourne,Newcastle,Melbourne - Newcastle,186.0,186.0
